AP Name,Base Radio MAC Address
e14-044-ap-1   ,00:26:cb:f4:08:f0   
e14-100la-ap-1   ,00:26:cb:f4:61:d0   
e14-101-ap-1   ,00:26:cb:f4:09:60   
e14-104-ap-1   ,00:26:cb:f4:09:50   
e14-104-ap-2   ,00:26:cb:f4:1f:00   
e14-117-ap-1   ,00:26:cb:f4:09:00   
e14-140-ap-1   ,00:26:cb:f4:08:90   
e14-140-ap-2   ,00:26:cb:f4:62:00   
e14-151-ap-1   ,00:26:cb:f4:09:30   
e14-151-ap-2   ,00:26:cb:f4:0e:50   
e14-151b-ap-1   ,00:26:cb:f4:61:60   
e14-163-ap-1   ,00:26:cb:f4:0f:a0   
e14-166-ap-1   ,00:26:cb:f4:10:10   
e14-187t-ap-1   ,00:26:cb:f3:f7:10   
e14-194-ap-1   ,00:26:cb:f4:0e:c0   
e14-200ca-ap-1   ,00:23:eb:d1:fc:e0   
e14-200ca-ap-2   ,00:23:eb:d1:fc:90   
e14-240-ap-1   ,00:23:eb:07:d9:30   
e14-244-ap-1   ,00:23:eb:d1:ee:90   
e14-245-ap-1   ,00:23:eb:d1:fc:80   
e14-245-ap-2   ,00:26:0b:ab:64:a0   
e14-251-ap-1   ,00:23:eb:d1:f8:70   
e14-251-ap-2   ,00:23:eb:d2:30:30   
e14-274-ap-1   ,00:23:eb:d2:1f:10   
e14-274-ap-2   ,00:23:eb:d1:fb:50   
e14-274-ap-3   ,00:23:eb:d1:d1:c0   
e14-274-ap-4   ,00:23:eb:d2:30:00   
e14-294-ap-1   ,00:23:eb:d1:d6:10   
e14-296t-ap-1   ,00:23:eb:d2:2e:20   
e14-300ca-ap-1   ,00:23:eb:d1:fa:80   
e14-300ca-ap-2   ,00:23:eb:d2:2c:a0   
e14-300ca-ap-3   ,00:23:eb:d1:fa:60   
e14-333-ap-1   ,00:23:eb:d2:2f:30   
e14-333-ap-2   ,00:23:eb:d2:29:b0   
e14-348-ap-1   ,00:23:eb:d2:28:60   
e14-348-ap-2   ,00:23:eb:d2:2a:70   
e14-348-ap-3   ,00:23:eb:d1:cb:e0   
e14-348-ap-4   ,00:23:eb:d1:c0:b0   
e14-374-ap-1   ,00:23:eb:d1:fe:90   
e14-374-ap-2   ,00:23:eb:d2:00:c0   
e14-374-ap-3   ,00:23:eb:d1:e2:10   
e14-393-ap-1   ,00:23:eb:d1:fc:20   
e14-394-ap-1   ,00:26:cb:f4:5b:90   
e14-396t-ap-1   ,00:23:eb:d2:03:c0   
e14-400ca-ap-1   ,00:23:eb:d1:ee:c0   
e14-400ca-ap-2   ,00:23:eb:d1:ff:c0   
e14-433-ap-1   ,00:23:eb:d2:02:a0   
e14-433-ap-2   ,00:23:eb:d1:ff:b0   
e14-433-ap-3   ,00:23:eb:d2:02:60   
e14-445-ap-1   ,00:23:eb:d2:04:40   
e14-445-ap-2   ,00:23:eb:d1:f6:70   
e14-445-ap-3   ,00:23:eb:d1:ff:a0   
e14-464-ap-1   ,00:23:eb:d1:f4:00   
e14-464-ap-2   ,00:23:eb:d1:f6:60   
e14-474-ap-1   ,00:23:eb:d1:b2:70   
e14-474-ap-2   ,00:23:eb:07:d9:10   
e14-474-ap-3   ,00:23:eb:d2:04:50   
e14-474-ap-4   ,00:26:0b:ab:86:40   
e14-493-ap-1   ,00:23:eb:d2:26:f0   
e14-494-ap-1   ,00:23:eb:d1:ce:00   
e14-494t-ap-1   ,00:23:eb:d1:cd:00   
e14-500ca-ap-1   ,00:23:eb:d1:cc:00   
e14-500la-ap-1   ,00:23:eb:d2:01:b0   
e14-514-ap-1   ,00:23:eb:d2:2d:60   
e14-525-ap-1   ,00:26:0b:ab:6a:00   
e14-526-ap-1   ,00:25:84:04:4c:10   
e14-548-ap-1   ,00:23:eb:d1:d5:d0   
e14-548-ap-2   ,00:23:eb:d2:26:90   
e14-548-ap-3   ,00:23:eb:d2:0b:40   
e14-548-ap-4   ,00:23:eb:d1:d9:b0   
e14-574-ap-1   ,00:23:eb:d1:d6:30   
e14-574-ap-2   ,00:23:eb:d2:05:00   
e14-593-ap-1   ,00:26:0b:ab:94:d0   
e14-596t-ap-1   ,00:23:eb:d2:03:a0   
e14-600ca-ap-1   ,00:26:cb:f4:5c:50   
e14-600cb-ap-1   ,00:26:cb:f4:5e:10   
e14-633-ap-1   ,00:26:cb:f4:0a:10   
e14-633-ap-2   ,00:26:cb:f4:09:c0   
e14-638-ap-1   ,00:26:cb:f4:09:70   
e14-638-ap-2   ,00:26:cb:f4:60:40   
e14-638-ap-3   ,00:23:eb:d1:bf:c0   
e14-638-ap-4   ,00:23:eb:d2:28:a0   
e14-670-ap-1   ,00:26:0b:ac:d5:30   
e14-674-ap-1   ,00:23:eb:d1:d7:80   
e14-674-ap-2   ,00:23:eb:d2:03:e0   
e14-674-ap-3   ,00:26:0b:ab:87:00   
e14-792-ap-1   ,00:26:0b:ab:9d:20   
e15-000la-ap-1   ,c8:4c:75:60:50:f0   
e15-000la-ap-2   ,c8:4c:75:60:4b:a0   
e15-001-ap-1   ,c8:4c:75:5f:7a:20   
e15-001-ap-2   ,c8:4c:75:60:4d:20   
e15-015-ap-1   ,c8:4c:75:60:4e:f0   
e15-023-ap-1   ,c8:4c:75:60:4e:90   
e15-040-ap-1   ,00:23:eb:d1:f4:a0   
e15-044-ap-1   ,c8:4c:75:60:4d:00   
e15-053a-ap-1   ,c8:4c:75:60:51:90   
e15-054-ap-1   ,c8:4c:75:60:4f:60   
e15-070-ap-1   ,c8:4c:75:60:53:20   
e15-070-ap-2   ,c8:4c:75:60:5b:60   
e15-070-ap-3   ,c8:4c:75:60:4a:00   
e15-100la-ap-1   ,c8:4c:75:60:52:a0   
e15-109-ap-1   ,c8:4c:75:60:43:f0   
e15-135-ap-1   ,c8:4c:75:60:5c:80   
e15-163-ap-1   ,c8:4c:75:60:4f:b0   
e15-172-ap-1   ,c8:4c:75:60:50:b0   
e15-183-ap-1   ,c8:4c:75:60:4d:c0   
e15-200la-ap-1   ,c8:4c:75:5f:67:40   
e15-209-ap-1   ,c8:4c:75:60:41:00   
e15-212-ap-1   ,c8:4c:75:5f:7c:50   
e15-226-ap-1   ,c8:4c:75:60:51:50   
e15-235-ap-1   ,c8:4c:75:60:4e:80   
e15-243-ap-1   ,c8:4c:75:60:41:50   
e15-283a-ap-1   ,c8:4c:75:60:5c:e0   
e15-305-ap-1   ,c8:4c:75:60:59:50   
e15-318-ap-1   ,c8:4c:75:60:51:80   
e15-320-ap-1   ,c8:4c:75:60:51:f0   
e15-331-ap-1   ,c8:4c:75:60:4e:a0   
e15-335-ap-1   ,c8:4c:75:60:5c:a0   
e15-344-ap-1   ,c8:4c:75:60:4f:f0   
e15-368-ap-1   ,c8:4c:75:60:50:e0   
e15-383-ap-1   ,c8:4c:75:60:56:40   
e15-416-ap-1   ,c8:4c:75:60:53:10   
e15-435-ap-1   ,c8:4c:75:60:48:90   
e15-441-ap-1   ,c8:4c:75:60:4a:60   
e15-443-ap-1   ,c8:4c:75:60:4d:d0   
e15-463-ap-1   ,c8:4c:75:60:4a:d0   
e15-468-ap-1   ,c8:4c:75:60:4e:60   
e15-483-ap-1   ,c8:4c:75:60:4c:a0   
e17-013-ap-1   ,00:23:eb:d1:fe:40   
e17-014-ap-1   ,00:23:eb:d1:fe:70   
e17-016-ap-1   ,00:23:eb:d2:20:40   
e17-110-ap-1   ,00:23:eb:d2:2e:c0   
e17-110h-ap-1   ,c8:4c:75:d1:0f:90   
e17-121-ap-1   ,00:26:cb:f4:5d:d0   
e17-223-ap-1   ,00:23:eb:d2:2d:d0   
e17-610-ap-2   ,00:23:eb:d1:bb:b0   
e17-610-ap-3   ,00:23:eb:d1:fd:80   
e17-711-ap-1   ,00:23:eb:d1:ab:d0   
e18-000cc-ap-1   ,00:26:cb:f4:a8:70   
e18-000cd-ap-1   ,00:26:cb:f4:a9:50   
e18-000cf-ap-1   ,00:26:cb:f4:0c:50   
e18-100cb-ap-1   ,00:26:cb:f4:53:a0   
e18-100cb-ap-2   ,00:26:cb:f4:0f:d0   
e18-100cc-ap-1   ,00:26:cb:f4:68:f0   
e18-100sb-ap-1   ,00:26:cb:f4:53:f0   
e18-115-ap-1   ,00:26:cb:f4:0c:d0   
e18-600cb-ap-1   ,00:26:cb:f4:a6:e0   
e18-600cb-ap-2   ,00:26:cb:f4:0e:40   
e18-600cf-ap-1   ,00:26:cb:f4:99:30   
e18-620-ap-2   ,00:26:cb:f4:a5:c0   
e18-668-ap-1   ,00:26:cb:f4:05:40   
e18-716-ap-1   ,00:26:cb:f4:0e:d0   
e19-100ca-ap-1   ,00:21:d8:49:16:f0   
e19-100ca-ap-2   ,00:21:d8:49:20:c0   
e19-100lc-ap-1   ,00:21:d8:49:22:e0   
e19-200ca-ap-1   ,00:21:d8:49:23:20   
e19-200ca-ap-2   ,00:21:d8:49:0f:e0   
