bssid, building, floor, lat, lon
00:26:cb:f4:08:f0,E14,0,42.36046359,-71.08733248
00:26:cb:f4:61:d0,E14,1,42.360569,-71.08741
00:26:cb:f4:09:60,E14,1,42.36046359,-71.08733248
00:26:cb:f4:09:50,E14,1,42.36046359,-71.08733248
00:26:cb:f4:1f:00,E14,1,42.36046359,-71.08733248
00:26:cb:f4:09:00,E14,1,42.36046359,-71.08733248
00:26:cb:f4:08:90,E14,1,42.360375,-71.087531
00:26:cb:f4:62:00,E14,1,42.360375,-71.087531
00:26:cb:f4:09:30,E14,1,42.360527,-71.087177
00:26:cb:f4:0e:50,E14,1,42.360527,-71.087177
00:26:cb:f4:61:60,E14,1,42.36046359,-71.08733248
00:26:cb:f4:0f:a0,E14,1,42.36046359,-71.08733248
00:26:cb:f4:10:10,E14,1,42.36046359,-71.08733248
00:26:cb:f3:f7:10,E14,1,42.36046359,-71.08733248
00:26:cb:f4:0e:c0,E14,1,42.36034,-71.087236
00:23:eb:d1:fc:e0,E14,2,42.360477,-71.087393
00:23:eb:d1:fc:90,E14,2,42.360477,-71.087393
00:23:eb:07:d9:30,E14,2,42.360418,-71.0874
00:23:eb:d1:ee:90,E14,2,42.360444,-71.087324
00:23:eb:d1:fc:80,E14,2,42.360614,-71.08731
00:26:0b:ab:64:a0,E14,2,42.360614,-71.08731
00:23:eb:d1:f8:70,E14,2,42.360442,-71.087147
00:23:eb:d2:30:30,E14,2,42.360442,-71.087147
00:23:eb:d2:1f:10,E14,2,42.360384,-71.087567
00:23:eb:d1:fb:50,E14,2,42.360384,-71.087567
00:23:eb:d1:d1:c0,E14,2,42.360384,-71.087567
00:23:eb:d2:30:00,E14,2,42.360384,-71.087567
00:23:eb:d1:d6:10,E14,2,42.360347,-71.087256
00:23:eb:d2:2e:20,E14,2,42.36046359,-71.08733248
00:23:eb:d1:fa:80,E14,3,42.360436,-71.087347
00:23:eb:d2:2c:a0,E14,3,42.360436,-71.087347
00:23:eb:d1:fa:60,E14,3,42.360436,-71.087347
00:23:eb:d2:2f:30,E14,3,42.36046359,-71.08733248
00:23:eb:d2:29:b0,E14,3,42.36046359,-71.08733248
00:23:eb:d2:28:60,E14,3,42.36046359,-71.08733248
00:23:eb:d2:2a:70,E14,3,42.36046359,-71.08733248
00:23:eb:d1:cb:e0,E14,3,42.36046359,-71.08733248
00:23:eb:d1:c0:b0,E14,3,42.36046359,-71.08733248
00:23:eb:d1:fe:90,E14,3,42.360325,-71.0875
00:23:eb:d2:00:c0,E14,3,42.360325,-71.0875
00:23:eb:d1:e2:10,E14,3,42.360325,-71.0875
00:23:eb:d1:fc:20,E14,3,42.36046359,-71.08733248
00:26:cb:f4:5b:90,E14,3,42.360352,-71.087249
00:23:eb:d2:03:c0,E14,3,42.36046359,-71.08733248
00:23:eb:d1:ee:c0,E14,4,42.3604,-71.087278
00:23:eb:d1:ff:c0,E14,4,42.3604,-71.087278
00:23:eb:d2:02:a0,E14,4,42.36046,-71.087575
00:23:eb:d1:ff:b0,E14,4,42.36046,-71.087575
00:23:eb:d2:02:60,E14,4,42.36046,-71.087575
00:23:eb:d2:04:40,E14,4,42.36063,-71.087225
00:23:eb:d1:f6:70,E14,4,42.36063,-71.087225
00:23:eb:d1:ff:a0,E14,4,42.36063,-71.087225
00:23:eb:d1:f4:00,E14,4,42.36046359,-71.08733248
00:23:eb:d1:f6:60,E14,4,42.36046359,-71.08733248
00:23:eb:d1:b2:70,E14,4,42.360362,-71.087539
00:23:eb:07:d9:10,E14,4,42.360362,-71.087539
00:23:eb:d2:04:50,E14,4,42.360362,-71.087539
00:26:0b:ab:86:40,E14,4,42.360362,-71.087539
00:23:eb:d2:26:f0,E14,4,42.36046359,-71.08733248
00:23:eb:d1:ce:00,E14,4,42.360352,-71.087248
00:23:eb:d1:cd:00,E14,4,42.36046359,-71.08733248
00:23:eb:d1:cc:00,E14,5,42.36049,-71.087424
00:23:eb:d2:01:b0,E14,5,42.360518,-71.087488
00:23:eb:d2:2d:60,E14,5,42.360599,-71.087417
00:26:0b:ab:6a:00,E14,5,42.360501,-71.087557
00:25:84:04:4c:10,E14,5,42.360507,-71.087667
00:23:eb:d1:d5:d0,E14,5,42.360523,-71.087177
00:23:eb:d2:26:90,E14,5,42.360523,-71.087177
00:23:eb:d2:0b:40,E14,5,42.360523,-71.087177
00:23:eb:d1:d9:b0,E14,5,42.360523,-71.087177
00:23:eb:d1:d6:30,E14,5,42.36046359,-71.08733248
00:23:eb:d2:05:00,E14,5,42.36046359,-71.08733248
00:26:0b:ab:94:d0,E14,5,42.360334,-71.087321
00:23:eb:d2:03:a0,E14,5,42.36046359,-71.08733248
00:26:cb:f4:5c:50,E14,6,42.360401,-71.087223
00:26:cb:f4:5e:10,E14,6,42.36046359,-71.08733248
00:26:cb:f4:0a:10,E14,6,42.36046359,-71.08733248
00:26:cb:f4:09:c0,E14,6,42.36046359,-71.08733248
00:26:cb:f4:09:70,E14,6,42.360525,-71.087358
00:26:cb:f4:60:40,E14,6,42.360525,-71.087358
00:23:eb:d1:bf:c0,E14,6,42.360525,-71.087358
00:23:eb:d2:28:a0,E14,6,42.360525,-71.087358
00:26:0b:ac:d5:30,E14,6,42.360393,-71.087352
00:23:eb:d1:d7:80,E14,6,42.360355,-71.087529
00:23:eb:d2:03:e0,E14,6,42.360355,-71.087529
00:26:0b:ab:87:00,E14,6,42.360355,-71.087529
00:26:0b:ab:9d:20,E14,7,42.36046359,-71.08733248
c8:4c:75:60:50:f0,E15,0,42.360949,-71.08774
c8:4c:75:60:4b:a0,E15,0,42.360949,-71.08774
c8:4c:75:5f:7a:20,E15,0,42.360772,-71.087691
c8:4c:75:60:4d:20,E15,0,42.360772,-71.087691
c8:4c:75:60:4e:f0,E15,0,42.360828,-71.08789
c8:4c:75:60:4e:90,E15,0,42.360689,-71.087808
00:23:eb:d1:f4:a0,E15,0,42.360666,-71.087637
c8:4c:75:60:4d:00,E15,0,42.36072,-71.087376
c8:4c:75:60:51:90,E15,0,42.36083889,-71.08763548
c8:4c:75:60:4f:60,E15,0,42.360828,-71.087364
c8:4c:75:60:53:20,E15,0,42.360923,-71.087422
c8:4c:75:60:5b:60,E15,0,42.360923,-71.087422
c8:4c:75:60:4a:00,E15,0,42.360923,-71.087422
c8:4c:75:60:52:a0,E15,1,42.360951,-71.087722
c8:4c:75:60:43:f0,E15,1,42.360774,-71.087872
c8:4c:75:60:5c:80,E15,1,42.36083889,-71.08763548
c8:4c:75:60:4f:b0,E15,1,42.36083889,-71.08763548
c8:4c:75:60:50:b0,E15,1,42.36083889,-71.08763548
c8:4c:75:60:4d:c0,E15,1,42.36083889,-71.08763548
c8:4c:75:5f:67:40,E15,2,42.360943,-71.087745
c8:4c:75:60:41:00,E15,2,42.360856,-71.087941
c8:4c:75:5f:7c:50,E15,2,42.360851,-71.087864
c8:4c:75:60:51:50,E15,2,42.36083889,-71.08763548
c8:4c:75:60:4e:80,E15,2,42.360656,-71.087659
c8:4c:75:60:41:50,E15,2,42.360657,-71.087472
c8:4c:75:60:5c:e0,E15,2,42.36083889,-71.08763548
c8:4c:75:60:59:50,E15,3,42.360922,-71.087932
c8:4c:75:60:51:80,E15,3,42.36077,-71.087845
c8:4c:75:60:51:f0,E15,3,42.360757,-71.087722
c8:4c:75:60:4e:a0,E15,3,42.360637,-71.087774
c8:4c:75:60:5c:a0,E15,3,42.36066,-71.087648
c8:4c:75:60:4f:f0,E15,3,42.360749,-71.087416
c8:4c:75:60:50:e0,E15,3,42.36083889,-71.08763548
